#
#  Mapping of v3 names to v4 names
#
#  This file is used by the upgrade tool.
#
3Com-Connect_Id                         	Vendor-Specific.3com.Connect_Id
3GPP2-Remote-IPv4-Addr-Octet-Count-Mask 	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Mask
3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Reverse
3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse-Overflow	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Reverse-Overflow
3GPP2-Remote-IPv4-Addr-Octet-Count-Table-Index	Vendor-Specific.3GPP2.Remote-IPv4-Addr-Octet-Count.Table-Index
3GPP2-Remote-IPv6-Address-Prefix-Length 	Vendor-Specific.3GPP2.Remote-IPv6.Prefix-Length
3GPP2-Remote-IPv6-Address-Value         	Vendor-Specific.3GPP2.Remote-IPv6.Value
3GPP2-Remote-IPv6-Count-Address         	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Count-Address
3GPP2-Remote-IPv6-Forward-Octet-Count   	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Forward-Octet-Count
3GPP2-Remote-IPv6-Prefix-Length         	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Prefix-Length
3GPP2-Remote-IPv6-Reverse-Octet-Count   	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Reverse-Octet-Count
3GPP2-Remote-IPv6-Reverse-Octet-Count-Overflow	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Reverse-Octet-Count-Overflow
3GPP2-Remote-IPv6-Table-Index           	Vendor-Specific.3GPP2.Remote-IPv6-Octet-Count.Table-Index
3GPP2-Reverse-DCCH-Mux-Option           	Vendor-Specific.3GPP2.Reverse-DCCH-Mux-Option
3GPP2-Reverse-DHHC-RC                   	Vendor-Specific.3GPP2.Reverse-DHHC-RC
3GPP2-Reverse-FCH-Mux-Option            	Vendor-Specific.3GPP2.Reverse-FCH-Mux-Option
3GPP2-Reverse-FCH-RC                    	Vendor-Specific.3GPP2.Reverse-FCH-RC
